756954722251022V95KJ8PT59809230828W	9049E30K7ZZ2019-05-31619168006M	3291892019-05-312017-06-190
492194479671490R85ZF0LZ14401446361L	6116V37T9ZZ2018-10-25845202688S	3538972018-10-252018-02-078
712883577303746H63DV7UI19083369826Q	9792S67K6ZZ2016-08-12961588353C	3255822016-08-122018-02-153
744035575604617Z92FC5OH28764002703T	5479E05A9ZZ2019-04-20225743896Z	3574742019-04-202017-09-092
665243627835453V59IN4IM79242740230J	5557B47X2ZZ2018-04-30498152837O	3345122018-04-302017-06-295
500084403894022P64OR3YM95668907317K	7990L11B5ZZ2019-01-14964770435K	3528002019-01-142018-06-275
625352706079377A21XW5YS68434209328X	1574H02Z7ZZ2018-09-17287332436V	3595852018-09-172017-02-244
680063959709794R18NR7DN82035256928Z	4292I66L3ZZ2017-01-02168179022W	3259022017-01-022018-05-159
880204738144677Y89YA0YV99723120369F	4427H37B9ZZ2017-07-14302190975A	3220612017-07-142018-07-102
932654422303779J04YB8QG21870735808N	6342L59Y9ZZ2019-03-20248130678Y	3231332019-03-202017-07-198
861150154571016B86UG6KZ73621692770F	3595E63A9ZZ2017-06-25056476947N	3773612017-06-252018-11-197
916757837904458S53FV7YB05266222344O	4425V14W3ZZ2017-08-27089872138P	3696282017-08-272018-04-037
991782415829592B29NK0DP27789958374O	3723K15X1ZZ2019-07-03989837494M	3331022019-07-032019-09-035
973846011773331H66VN4OH73964738087V	9144D60R7ZZ2016-10-30285195698Z	3407392016-10-302017-08-231
883550593864306R88BR6DK05105257896F	6219F78S2ZZ2018-09-02690955372L	3841532018-09-022017-09-159
675315761459795V25HB4JF90439055503D	2863Y80L1ZZ2016-10-11713208894Y	3374802016-10-112017-09-076
102012172550728P85BS4WP91575834592I	6081X42H3ZZ2016-05-19839989334P	3803212016-05-192017-08-091
572232792700694O29LQ5MW16920604892J	8910E23V1ZZ2016-07-02840206672N	3358362016-07-022017-07-289
913219305684151P37EM8AR98551169061U	7250L73V7ZZ2019-09-27141676218O	3736482019-09-272018-05-168
014292826810311P72OE0HE52292778980I	8997S78S0ZZ2016-03-22553076929D	3959612016-03-222017-11-011
683709723236081Z60JI8AQ31695482092S	3399R79H4ZZ2017-11-20328167810I	3795052017-11-202018-04-079
140137806864982X34HY1VY48769609438W	7356J59I4ZZ2017-08-23688770851F	3584532017-08-232018-10-197
489218824168981F78ER0IE11946718342M	1788T74R1ZZ2019-01-27561035198V	3256792019-01-272018-12-146
342820126591120B39HU9CB11455043243A	1934N04B6ZZ2016-11-24264324966C	3714402016-11-242018-12-038
597079846414655Q02WC2UI49320034179K	4331D07G3ZZ2016-08-03518739097C	3227342016-08-032017-07-060
137045422011085Z99NZ5AS92501747422S	9954C72I4ZZ2018-03-22567333632X	3206942018-03-222018-07-063
978797991305817W25LA2IP54331364919G	5799X51N5ZZ2016-04-13223677544E	3623322016-04-132018-02-113
472519396824869T70TX5MJ87761670065E	4844U71M9ZZ2017-03-22793370936K	3303592017-03-222019-04-197
152457222684245A55TS3MU66526084457D	0728F31X0ZZ2017-09-12883603066E	3101362017-09-122018-05-051
219140645080295U58PX2GF46837677374P	4357Y53K4ZZ2017-08-07492532800S	3439562017-08-072017-05-311
199528452475315L00UY0ME52605030650B	6392W09A0ZZ2017-06-05650596668D	3521012017-06-052017-09-228
576550574555766M78ML2RO34101070047S	3390K37X4ZZ2017-06-01792267674X	3940082017-06-012018-10-182
355575229758351T56QX7HZ99224982923H	2552X57N6ZZ2017-11-23521708240X	3997142017-11-232017-03-086
434803003198593W92UP1MZ33363401645Z	6429H28R3ZZ2019-01-17449846084A	3377172019-01-172017-08-316
749664656760023L60VO6UD17918297850Q	3718G69Q7ZZ2018-10-06748462311F	3470162018-10-062017-02-010
991357006471930J03FW9XV63655252525C	4230F51F8ZZ2016-12-22456549639X	3533162016-12-222018-02-029
351701184248322E82QF7GC89516554245S	9483R36Y3ZZ2017-03-07912904261P	3984942017-03-072018-11-271
715761950762179H89VK4TO83060812851H	5578K12W6ZZ2019-07-18480148861H	3696012019-07-182019-12-235
062873579488192I96LB9AG07825982246G	9190R12O4ZZ2016-05-16138103853E	3744342016-05-162017-05-066
876649463498926U27GV9UW45910090183S	9286I80A0ZZ2016-07-07805798247S	3783952016-07-072019-07-242
784766303800836Y78FG7GD70998140019S	9974P44M1ZZ2016-06-13816169726W	3536542016-06-132017-11-248
755364177544914D02RU6MW30027544183S	2446K29T5ZZ2019-12-19598608516G	3353622019-12-192017-04-133
545426482325845E00XF7HS75917373195J	4611K04V9ZZ2017-02-11976105943H	3583932017-02-112019-01-171
337355166776345X65CL6RN47993132246L	9190V53K3ZZ2017-02-17238661937F	3584272017-02-172018-10-197
012376660496906F89HY6IX91509371692D	1087Y46Y6ZZ2018-05-08166943741V	3104112018-05-082017-12-167
281975531379586L11HM0WB54305935569K	7489S67L9ZZ2019-10-17761408672U	3881052019-10-172017-01-226
932437765339536U79WB5QB23358999460B	1495C56Q9ZZ2016-01-24291701321A	3367732016-01-242019-01-042
637532015654994Y68PM6QS15868034014X	7524C43U7ZZ2019-03-25684586374O	3611772019-03-252017-03-178
867378442995935T61AO1LP17308132595U	9050T81E7ZZ2019-02-25298502641L	3845892019-02-252019-06-109
937450600862258A32KW0UQ69350965862O	0055J76H6ZZ2019-04-10285827183X	3975372019-04-102017-06-195
691999673788531T71HP8QF73225570847H	8517E04G3ZZ2019-02-02011439125B	3406352019-02-022019-04-227
527123561090600H71YA9TW22358880201S	3636M32S9ZZ2017-12-25398312890R	3703092017-12-252019-12-129
276956651683979Y56SA5WY12394649685O	7023A12J3ZZ2016-01-24742533640B	3664912016-01-242018-06-286
643639308421530X28IM1TM42292064511D	0719Y49D3ZZ2019-12-15250168027K	3426662019-12-152019-03-145
801544615389407K53PF4CK35091692420H	6854K20Q4ZZ2017-07-26762095869R	3850612017-07-262018-11-220
473225810195350Q36FL2VR92833717465Y	5167E16G6ZZ2016-07-21531849291Z	3382522016-07-212020-01-073
802721118787002X44SI4VZ04079592700V	0303X15O1ZZ2017-09-29384440611R	3365742017-09-292018-12-082
507586412022612Z36XY4RW30622624000K	7796F54O4ZZ2019-02-22859010512U	3814402019-02-222017-03-075
289455999429550R27YN9MO33202996412F	3847L30S7ZZ2017-03-17929223025W	3101132017-03-172017-10-284
584381687305653Y10IS8XG79818512380F	3763A86D4ZZ2019-07-25394599353W	3259102019-07-252017-06-294
683899469442830L29NM9HK16200714032O	1556K58V3ZZ2018-03-08389342313M	3799622018-03-082018-06-091
825831785552674B78EO8CV84745059641B	4413V12S6ZZ2019-12-26380663187V	3993842019-12-262017-10-058
973180502293696D12HP9PR44691494480A	7383I81L0ZZ2018-06-24733031820Y	3928322018-06-242018-10-128
855870565154068W74BW5LP59817354039B	2065A00M0ZZ2019-06-23076222433K	3993942019-06-232017-10-159
883975359525986C32XE2TM27871726240S	8790K20N3ZZ2018-02-24210218653V	3304092018-02-242018-01-292
813205406378577U33LV3AY76737981273U	4457P15Q8ZZ2019-02-03118800098F	3359022019-02-032019-02-214
969102696580709K77MW2EX06486401862P	9708V21R7ZZ2017-10-29319815158R	3982082017-10-292018-07-298
695184523205004Q14XZ0SY17570976283F	5458I42C6ZZ2018-12-24199815431C	3648492018-12-242019-04-088
871282777773356C16GQ7CA00664791391S	4646X74D6ZZ2016-06-29849946109D	3989532016-06-292018-07-317
155128010024494N13NK5AO19294312059I	0433P62B3ZZ2016-02-25583901949S	3881992016-02-252017-09-260
983365376769634K66FA2JO03950705645H	7051V14A8ZZ2017-12-10564836170H	3421442017-12-102017-07-093
264804474536806S91GP6JA03891555127N	4887Q96W3ZZ2017-07-22794544993Z	3508802017-07-222019-01-059
738691470731680R60JW7RA43623758421W	2676J35E3ZZ2017-04-01907778613A	3674912017-04-012019-05-225
448581256528859A69RO9GZ59270434625U	1851D35Y7ZZ2016-04-16020791758L	3582962016-04-162017-08-143
287314400015072K20GC0IZ19091433532I	2805B05I9ZZ2018-05-05583346825C	3301402018-05-052019-03-097
555969778256006K26RW3RO58672523346Y	1714S79D2ZZ2017-06-18272552159F	3572052017-06-182018-06-241
454992912736541L40JG6GU44885825967F	8013O51F6ZZ2019-06-09162661812F	3664012019-06-092017-08-258
227820215762031E14PY8XT58192007677A	8527B44R8ZZ2016-07-04542213467L	3528922016-07-042017-02-152
541044885692381Y98BP9FM10076159244W	5233R03O1ZZ2019-04-10048663858A	3381422019-04-102018-05-296
802401950617682J23OV5QU69483409798M	7919K32L3ZZ2019-07-13350582192N	3952192019-07-132018-07-196
995312545310480A50PZ7QX94383316831L	7577M82E2ZZ2017-11-17292982368T	3854722017-11-172019-08-319
442561834091478I47VY0DV20937283509C	7771Q05W4ZZ2018-07-05268027771N	3687712018-07-052017-05-068
147922008981112G28MX3FU17401598193C	4687C85G6ZZ2018-05-04199263029P	3513192018-05-042019-07-041
517460623473987J95OF8QL01696941897C	0249R16K3ZZ2018-08-01914653424I	3387072018-08-012019-03-280
101394383678466N46LB3KV69684878748E	7628Z74K0ZZ2019-07-02209644972K	3268972019-07-022017-10-080
195564580288369V98AF2KW48258751299C	0730I98R8ZZ2016-06-15855419917A	3276502016-06-152018-09-124
978286810711933J40FH9QM89911520505S	6934W47I9ZZ2016-12-16772473514R	3879332016-12-162019-08-112
402404569173648J96HF7BA95750529147Y	6804F75N0ZZ2019-08-18003871325R	3225232019-08-182019-08-263
327946016293163V37JZ2MD03832835238T	6564Q53N7ZZ2019-08-11747905558G	3273032019-08-112019-06-235
400024433931002S41MG1AT48611822686N	2453F87A3ZZ2018-09-28107875436A	3315102018-09-282019-10-148
173099372409517V17CW9TR42199523180O	0608C07Z2ZZ2018-03-29566692737L	3978562018-03-292018-07-030
286435554116724P53QM6MC27064252369F	0585H31R0ZZ2019-06-07141084319H	3963232019-06-072019-03-285
559736486910665K52IX6JH88612949601O	0453M47K3ZZ2018-03-12572537085K	3411832018-03-122018-07-190
328852660806293N17ER1MG27578827709C	6858M69P6ZZ2017-12-15470182843R	3796682017-12-152019-10-099
348129085256603T95IS5JL47234480070V	9533S66Y9ZZ2017-11-23729244298Y	3252372017-11-232019-03-079
727090085631740I43JS3YH44953643739I	9745A72F4ZZ2018-04-17000670843I	3528542018-04-172017-06-252
187688905058458F04SK0VE21503167449E	2960N56U0ZZ2017-05-17661593188G	3292052017-05-172017-10-273
297861665784823Y58YN2FR91663304176X	5558R80O8ZZ2016-05-11659585090E	3295372016-05-112019-03-131
741772973831218F27VS8XP15184656455S	0407S62I6ZZ2018-10-09920695328L	3514432018-10-092018-06-283
210167400038347J57FT5IZ78767281385G	7534K78V9ZZ2017-08-09049726197N	3904192017-08-092018-03-086
157984252195392L59BL7IE72014964113B	1368X17D7ZZ2019-05-03406182144B	3777212019-05-032018-07-080
404058396800774A81TY9CO18101709123B	8116Y12H4ZZ2018-05-12591398863Z	3989692018-05-122017-08-193
521468580922893T32ZP2PT27116131467D	1017D81Y6ZZ2016-10-25163128152V	3391682016-10-252019-10-041
436880249737421X12QO4VX93112679670K	7275I35I4ZZ2019-04-29508078223M	3618812019-04-292019-09-154
616233893306965I25PM9WR14168406393F	1959Y89X9ZZ2016-11-02403621889C	3474852016-11-022018-09-153
513588210693294S90RL0SY77312281363H	1266A39K5ZZ2016-07-27378274235H	3962592016-07-272017-11-111
706815090087002G57RI5JB89764168104L	5753D96V6ZZ2016-01-25722307503Y	3492152016-01-252019-02-283
562996198300723A95TP8BE99737007715G	8644I21N0ZZ2018-06-10532342757G	3287882018-06-102018-11-246
630993753112238Y01AX0AW06218324692I	2226K91C8ZZ2019-06-02698765242W	3160162019-06-022017-04-016
503192696076559S42YN9LZ47327880505H	6298S49T1ZZ2018-09-08180967046M	3556102018-09-082017-11-158
801785172820311U41PU2ZR95572301536B	7212I97G9ZZ2017-05-04924603659P	3278842017-05-042018-01-257
925221151007352Z85SU0AJ92839106140Z	8086O13W6ZZ2016-06-26460467018H	3178802016-06-262019-11-247
366671019338855W37ES6MA29735880714B	2338K85U0ZZ2017-04-16215427374D	3680222017-04-162019-02-271
384653368202965Q48GC2MW12870121087A	7387Y62J9ZZ2017-10-30776549515S	3705682017-10-302018-12-225
530096454349908A76AF7LW63758527821Q	7260F91F7ZZ2019-05-21634079692Y	3966292019-05-212019-10-185
446142874870406V72XJ1XC17590446967P	3984C75S8ZZ2016-04-03089469347F	3599842016-04-032017-08-112
344789391384402H60YG3JP16983010773F	3152Z96C0ZZ2019-01-05864507557F	3364652019-01-052020-01-053
756833961003133R46BG7WR62390655428P	9590F65Y3ZZ2017-06-20212389886O	3480182017-06-202018-08-103
833591213391709S50GQ2MX40685501375I	9179Q81A8ZZ2016-09-01322145178S	3507592016-09-012018-11-261
721388021833459S01ML3IR60194672898G	8482Y04X0ZZ2016-12-15299194193U	3856542016-12-152017-12-270
483826145441537G08RW4QK17353079016O	3846R90R2ZZ2016-04-29985985257K	3953892016-04-292017-12-020
088932195900994S37DS8PS56635045948C	4763E78T0ZZ2016-03-18511227301C	3180142016-03-182019-03-132
834102492507483A32DP3MC57870888221Q	5698T98C2ZZ2018-06-25119493521I	3628922018-06-252019-12-123
316182845224859K71EA1LX67436532560T	9522I58S1ZZ2019-07-10826308918F	3634102019-07-102019-10-060
176781050118481X56FZ0JL95949496382Z	1796M88Y4ZZ2017-04-13361443210A	3581982017-04-132019-05-127
109604826896001T59AT7CV28184065362O	8979Y66Y1ZZ2019-05-16896976652K	3437192019-05-162019-06-219
903033939522591Y52WK8ZP06077206172Q	2330Q52H1ZZ2016-01-25303787189L	3494302016-01-252017-09-035
059471435039032Y92MK0AG76206245915R	9226O96U3ZZ2017-10-23036626889Z	3171012017-10-232018-04-094
262065546378065N71QP0QU76469262823X	5425J19Z8ZZ2018-09-06377108530W	3400612018-09-062018-08-165
835302396016256A75FY4LA10183164099G	7731Y40F9ZZ2016-06-04452309207M	3120422016-06-042019-03-193
441946264815741A67RK2GI41522794465V	2242T45U2ZZ2018-03-17127387601P	3786402018-03-172019-03-195
930056162628380U57YI2GF45824175327O	6058C08D1ZZ2018-05-15529718320W	3539592018-05-152018-10-060
706507344777806C33CD8RK28646936967H	5713Q05B3ZZ2016-09-10639404187Z	3984672016-09-102017-08-188
912400025053670F41EF1XN83602955281K	0163A60H3ZZ2018-06-17410981693A	3793772018-06-172017-04-128
515948654714244B81UZ7LV42912170551G	3803X70F2ZZ2017-11-17145225355L	3819572017-11-172017-09-030
502244377912340J93ET7NV30664116202M	5698C27C7ZZ2018-07-20910686825D	3435012018-07-202017-03-037
327968156343647X38JM8VB96862550555B	1189N33F8ZZ2016-05-07916183507R	3297512016-05-072017-02-206
419822085096618R07MB2CQ37374968318I	3523F82C8ZZ2020-01-03467009152C	3590402020-01-032018-01-101
848436131459629E47XZ0XP61171996417W	5919K90T9ZZ2016-09-25120724813X	3584612016-09-252017-11-114
496267719752159M19TI0HG74231762159B	6171K68T2ZZ2016-10-30948387034J	3175302016-10-302019-03-216
657163396445025E99VX8WX42492592330P	5580J86U6ZZ2017-11-06043771577X	3416282017-11-062017-08-159
777457073577030H57LQ1PL33878971036M	4031A84C5ZZ2017-09-02524729167C	3385392017-09-022017-11-157
952902640942609K92FB6AF71423393641Q	0999N96S8ZZ2017-06-04784224117O	3587762017-06-042019-05-158
664336570533968V61TK7NF25789281400R	2382S73F7ZZ2016-04-08205844788Z	3154782016-04-082018-05-224
395549140568411T76RU9TP63042286977R	2716T78A6ZZ2016-07-01788418646O	3717732016-07-012017-06-118
639472902698529N76AW1JG09037246334F	7506A24M1ZZ2018-08-16727176158O	3552852018-08-162018-03-206
485107077338924T24DR5PT57446842806X	6501S52U7ZZ2019-04-12358765243H	3868632019-04-122019-01-172
226391228111773O76KO3HI77805670717F	7486M37F6ZZ2017-08-21440371521M	3235872017-08-212017-06-104
358901207960400H23ZS6NJ35276711558S	5953V87G9ZZ2016-05-07108045310K	3320732016-05-072018-04-185
420524677620895D16FB2MU74993816926R	2526Z65M0ZZ2016-12-02132937774I	3471452016-12-022019-10-119
852520367149533H90UY3PY25819518101M	3986Y24V0ZZ2019-02-25160110522T	3949482019-02-252018-08-266
671803079528706Z18XV2LM01593615446S	6011T44S5ZZ2019-01-05979428887E	3237132019-01-052019-03-143
192397292630924A67XP2KI04414614649K	8204C26B6ZZ2018-06-04382179011W	3836492018-06-042018-04-035
177826246996092X91HM6SU66792274084V	5078H62D9ZZ2017-12-03200228267B	3365292017-12-032018-03-234
115356257007623F74AS4NR37462738950C	7943N79V3ZZ2018-02-24633465079T	3633932018-02-242017-02-175
522010277115285F98FM3WM46403030221A	6235C91S3ZZ2016-04-27270249902J	3389052016-04-272018-11-017
640311143362590J53IP7ST43073438608D	4267T93J7ZZ2017-07-09221054266O	3332722017-07-092017-06-282
083455938399705F76UY9ZP09535262726B	2163L51B2ZZ2016-02-17841582125P	3732512016-02-172017-06-031
749706173238641D77YA2XE85558686273I	4909X64R4ZZ2019-04-07089064817I	3686512019-04-072018-01-163
781054529758968S80EI9MF26712392316A	2122B27Z9ZZ2018-01-07654819376I	3100242018-01-072019-08-082
867520743502233X50QH4HX44294730124T	6349Y22W4ZZ2016-12-13921056198B	3620102016-12-132017-05-071
762221186837835J35TI4ZW09824139810O	8098B69T0ZZ2017-05-08649778551M	3141132017-05-082019-05-152
846157110642276D46GO7GE31766791865G	0377E72E9ZZ2019-03-19779093670P	3473172019-03-192018-07-254
893043716163224D47FN6ZB28735085014C	3911K31O5ZZ2018-01-21387982959S	3909702018-01-212019-07-266
853864999566696D73LF5BT62628707733E	3426Y63M4ZZ2018-05-27148019952R	3546652018-05-272018-11-247
475316205702801E62OX4PI36366076577F	5520T05W6ZZ2018-10-07516799693Y	3952122018-10-072019-07-053
162193904406591C36FD7HL05631783259T	0455R13V1ZZ2019-04-25625372977E	3210532019-04-252018-11-057
958443979279116W90XQ4EP24474772107S	3571T18Y3ZZ2018-01-02351320457H	3901782018-01-022017-04-300
438003845003447U27LW5HZ01091665636V	3021P14F3ZZ2017-01-19963910257X	3678972017-01-192018-06-245
634865683888439L62NQ8IU88536718951J	5084S93M2ZZ2017-01-24187808201N	3612662017-01-242017-08-144
348674919781274G32CS1TX93231662996N	9088Z15W4ZZ2017-11-07774546567Z	3503382017-11-072019-07-237
513095303399675N99RM9NJ52549300279G	2601X76M6ZZ2017-06-07995205470Q	3240992017-06-072019-12-057
520576797539326N48YN1RH14707128809K	7480F54T8ZZ2019-05-18918409612Z	3529142019-05-182019-06-298
602611894755644L44BO6WB28930061188R	1133F32U9ZZ2019-08-05874745181F	3314272019-08-052019-02-063
316278203816513U70PO6FR21298609114W	9019R92W6ZZ2019-12-13993512740I	3687422019-12-132019-10-139
545775511375712M65TK0JV30252676443H	3351H16C4ZZ2019-05-04697617199X	3828522019-05-042018-05-199
350269837982024J83TD7WD00568851532U	3162M04X1ZZ2019-12-08010863331J	3222452019-12-082019-09-040
676577913327228F17ZN2NH80362401373W	9907S71U5ZZ2017-10-12542548321J	3234412017-10-122017-07-082
571774079374551E99UY1FG85238924927F	3736W51P5ZZ2016-07-04430589118R	3722622016-07-042017-10-045
585895060570594G97GN3QE88436335681L	1060V35Z3ZZ2016-04-05748727769K	3596482016-04-052018-12-047
050068204695982S21PB8GH15699154687X	1673N19R3ZZ2016-04-02106645389J	3812452016-04-022019-05-027
319695445627141X35WT3NO01853155697B	2461I14H2ZZ2019-05-26104396040Q	3615842019-05-262019-11-214
723454220515247X39QB7DS47621504618A	0228K63P4ZZ2016-11-29368713308A	3579942016-11-292019-10-312
701715327972923X31FU8DH05447228864Z	7099P82T9ZZ2016-07-09400996937A	3184192016-07-092017-03-268
989737643561870B37HG5KA30924207552R	6268Q02K3ZZ2017-02-09916595798I	3277032017-02-092017-03-067
557185086826957Q04MF2FX62851639373U	9485T08X7ZZ2018-08-19096425983E	3993132018-08-192019-09-270
383132648123537T75RC8ZT03179919693Y	6148U37I0ZZ2016-04-22754862300Z	3340442016-04-222019-11-018
523358726538264V41IT1CS32135358048R	2298E07J4ZZ2017-12-26553301696M	3224132017-12-262017-07-160
352097759892103E16MN3YS14508704230W	7001K01M1ZZ2018-12-01788236826K	3870342018-12-012018-07-165
947982793997475E24PV0ZK26972503029M	8982Y70A4ZZ2017-10-09295542632N	3790692017-10-092018-08-284
833366935323027E32US8VN51230639043P	4117M36P7ZZ2016-09-27934396434B	3281102016-09-272019-10-019
882539654325007Y60AS9NZ48666569875H	0178L47G2ZZ2016-01-29891819171U	3507362016-01-292019-08-011
910103130336513P54NM1ZW41393355856C	8739A52B0ZZ2016-10-22381880984K	3664212016-10-222018-12-102
